batch_id,year_month,destination,qty_planned,qty_sent,sent_date,status,notes
Donor_OMO_2603,2026-03,SKKU,5,5,2026-03-13,발송완료,
Donor_2603,2026-03,파인랩,5,5,2026-03-20,발송완료,
Donor_OMO_2604,2026-04,SKKU,5,0,,계획중,
Donor_2604,2026-04,파인랩,5,0,,계획중,
Donor_OMO_2605,2026-05,SKKU,5,0,,,계획중,
Donor_2605,2026-05,SKKU,5,0,,,계획중,
Donor_OMO_2606,2026-06,SKKU,5,0,,,계획중,
Donor_2606,2026-06,파인랩,5,0,,,계획중,
Donor_OMO_2607,2026-07,SKKU,5,0,,,계획중,
Donor_2607,2026-07,파인랩,5,0,,,계획중,
Donor_OMO_2608,2026-08,SKKU,5,0,,,계획중,
Donor_2608,2026-08,파인랩,5,0,,,계획중,
Donor_OMO_2609,2026-09,SKKU,5,0,,,계획중,
Donor_2609,2026-09,파인랩,5,0,,,계획중,
Donor_OMO_2610,2026-10,SKKU,5,0,,,계획중,
Donor_2610,2026-10,파인랩,5,0,,,계획중,
Donor_OMO_2611,2026-11,SKKU,5,0,,,계획중,
Donor_2611,2026-11,파인랩,5,0,,,계획중,
